long,lat,disturb,rainann,soildepth,soilfert,tempann,topo,easting,northing,plot,Species,pres.abs,id
152.0621,-30.9315,1,1010,1029,2,125,7,-163575.814534386,6557275.357552,523,Eulamprus murrayi,0,4181
153.3581,-29.2487,1,1592,1350,1,192,0,-48666.355678597,6751233.93894705,285,Pseudechis porphyricaus,0,2279
152.5595,-29.7213,2,1096,1039,2,181,2,-123571.228429978,6694673.93369733,371,Saltuarius swaini,0,2968
153.137,-30.1101,2,1604,1169,2,186,-3,-65340.5697630112,6654471.79599168,450,Calyptotis scutirostrum,0,3594
152.6206,-30.5157,3,1846,1100,2,179,-18,-112688.935976116,6606703.99600922,470,Coeranoscincus reticulatus,0,3755
153.3088,-28.57,1,2002,1129,2,183,-9,-57101.2660895063,6826393.18209589,156,Pseudechis porphyricaus,0,1247
152.4389,-29.0999,2,1358,1000,2,158,-13,-139175.743651501,6763098.07298971,248,Egernia mcpheei,0,1980
153.0633,-28.3736,3,1816,1149,4,148,7,-82260.6312826395,6847042.58183356,28,Eulamprus murrayi,0,221
153.493,-28.1705,3,1594,1159,2,200,-1,-41072.1914095881,6871609.99494362,3,Saltuarius swaini,0,24
152.2606,-29.0341,3,1258,1070,1,137,-1,-157007.529503806,6769427.67794309,236,Calyptotis scutirostrum,0,1882
152.1664,-29.2429,3,1226,1100,2,138,-13,-164858.804226668,6745675.09778865,281,Coeranoscincus reticulatus,0,2243
153.3026,-28.543,1,2846,1139,4,154,5,-57852.3087704955,6829363.4472621,145,Coeranoscincus reticulatus,0,1155
152.4389,-29.0999,2,1358,1000,2,158,-13,-139175.743651501,6763098.07298971,248,Saltuarius swaini,0,1984
152.5613,-28.3332,3,1112,1070,2,164,-9,-131846.465617718,6848991.24192767,17,Egernia mcpheei,0,132
152.3904,-31.6481,2,1806,1070,2,153,-4,-127313.378797034,6479531.06572796,585,Cacophis kreftii,0,4673
153.3088,-28.5736,1,2020,1179,5,181,-13,-57082.2051583753,6825993.28319997,160,Pseudechis porphyricaus,0,1279
152.4145,-30.1323,3,1260,1120,2,117,6,-135009.523580843,6648183.83082822,459,Calyptotis scutirostrum,0,3666
152.7206,-30.543,3,1638,1129,2,184,-20,-102896.285301994,6604211.86193066,478,Ophioscincus truncatus,1,3822
151.616,-31.6709,2,996,870,2,130,17,-200812.616217544,6472250.03913196,589,Cacophis kreftii,0,4705
153.4951,-28.1705,3,1594,1159,2,200,-1,-40865.5086195344,6871619.40086448,4,Cacophis kreftii,0,25
152.4109,-30.024,3,1136,930,2,140,31,-136054.495373423,6660204.06471628,426,Saltuarius swaini,0,3408
152.1862,-28.8225,3,1096,1019,1,144,19,-165638.858103626,6792540.33884748,203,Pseudechis porphyricaus,0,1623
152.5043,-30.028,1,1306,959,2,141,28,-126993.611603368,6660277.92353891,428,Eulamprus murrayi,0,3421
152.5906,-29.7034,3,1334,1000,2,163,26,-120664.471145184,6696832.14250845,361,Ophioscincus truncatus,0,2886
152.5606,-29.9488,2,1258,1090,2,158,-4,-122044.430318249,6669390.77405921,402,Calyptotis scutirostrum,0,3210
152.9856,-29.3159,3,1190,1110,2,190,-1,-84574.3885704612,6741956.78858702,300,Ophioscincus truncatus,0,2398
152.5315,-29.9613,1,1068,910,2,173,-4,-124782.821282842,6667842.13199573,409,Coeranoscincus reticulatus,0,3267
152.5968,-29.7052,3,1272,1070,2,166,7,-120051.677557984,6696665.53448831,362,Ophioscincus truncatus,0,2894
153.1205,-28.4367,3,2636,1179,4,139,6,-76296.1989038548,6840308.40108151,83,Calyptotis scutirostrum,0,658
152.3156,-28.7889,2,1094,1080,2,168,-17,-153177.628494992,6796999.50794559,195,Eulamprus murrayi,0,1557
152.2948,-29.1372,2,1318,1070,1,139,-8,-153010.118576574,6758154.60282466,253,Ophioscincus truncatus,0,2022
153.0959,-28.3772,2,2286,1100,4,139,5,-79037.3638766905,6846800.48131106,37,Eulamprus murrayi,0,293
152.3952,-28.4788,1,1094,1090,4,157,3,-147293.925634327,6831915.7941736,106,Coeranoscincus reticulatus,1,843
153.1287,-28.4349,1,2408,1039,4,141,-3,-75500.6971927988,6840547.8484931,82,Eulamprus murrayi,0,653
152.1561,-29.2429,3,1218,1070,2,133,10,-165863.420673349,6745616.23724207,280,Eulamprus murrayi,0,2237
151.515,-31.9151,2,1704,1049,4,99,7,-208542.009852545,6444421.49431971,597,Cacophis kreftii,0,4769
152.0528,-29.7295,1,880,939,1,150,-6,-172693.362441008,6690900.27281866,375,Cacophis kreftii,0,2993
152.3412,-31.139,1,1960,1139,2,124,-2,-135434.563789421,6535845.27228755,526,Ophioscincus truncatus,1,4206
152.7436,-28.8987,2,1174,1059,2,178,-28,-110616.719576928,6787085.30761186,215,Coeranoscincus reticulatus,0,1715
152.0773,-30.8793,3,942,899,2,130,30,-162480.687351114,6563171.45187532,508,Egernia mcpheei,0,4060
151.4843,-31.5972,2,962,939,2,118,24,-213911.671354104,6479590.01306014,578,Cacophis kreftii,0,4617
152.7564,-31.2324,3,1332,1110,2,180,-5,-95149.1562671253,6527786.53251694,549,Eulamprus murrayi,0,4389
153.2384,-29.9673,1,1394,1289,1,188,1,-56347.7388175956,6670835.62619282,412,Coeranoscincus reticulatus,0,3291
153.3088,-28.57,1,2002,1129,2,183,-9,-57101.2660895063,6826393.18209589,156,Calyptotis scutirostrum,1,1242
153.1287,-28.4927,3,2092,1049,4,164,29,-75185.949814677,6834126.13459355,124,Cacophis kreftii,1,985
152.3482,-29.4678,1,2034,1059,1,140,-23,-145699.000835591,6721693.0664676,314,Pseudechis porphyricaus,0,2511
152.7476,-28.9131,4,1214,1039,2,171,15,-110140.731442662,6785505.55962449,220,Saltuarius swaini,0,1760
153.4215,-29.1311,1,1552,1320,1,193,1,-43112.7372327422,6764592.40958821,252,Saltuarius swaini,0,2016
151.3879,-31.928,1,1434,1059,2,105,7,-220503.100920608,6442140.95723423,600,Egernia mcpheei,0,4796
153.5777,-28.7587,2,1708,1350,1,197,-1,-29780.9705356891,6806663.75964171,180,Saltuarius swaini,0,1440
151.1632,-31.6291,1,1310,1100,4,103,4,-244240.838640846,6473879.33473577,582,Coeranoscincus reticulatus,0,4651
152.5229,-28.2644,3,1402,1090,4,160,10,-136035.289036256,6856436.98532356,11,Calyptotis scutirostrum,0,82
152.5212,-29.954,1,1150,980,2,161,-14,-125825.838070042,6668597.13397598,406,Ophioscincus truncatus,0,3246
151.3516,-31.9456,1,1388,990,5,110,27,-223808.84244951,6439938.38190837,602,Cacophis kreftii,0,4809
152.7497,-28.8987,2,1146,1029,2,181,-33,-110020.100859829,6787116.90272986,216,Coeranoscincus reticulatus,0,1723
152.3846,-29.2351,1,1420,1029,2,152,-12,-143628.296458133,6747768.08614773,277,Ophioscincus truncatus,1,2214
152.3453,-30.5434,1,1610,1100,2,123,3,-139003.371755967,6602087.20288179,479,Cacophis kreftii,0,3825
153.1347,-29.9548,3,1362,1139,2,186,-3,-66449.8660231419,6671714.22619277,408,Calyptotis scutirostrum,0,3258
153.3784,-29.1529,2,1622,1120,2,192,-15,-47199.9003217968,6761970.31217762,262,Coeranoscincus reticulatus,0,2091
152.2613,-28.9258,3,1114,1019,2,158,11,-157628.595163146,6781474.60411432,225,Ophioscincus truncatus,0,1798
152.6164,-30.5247,3,2366,1039,2,154,48,-113036.28359126,6605680.67290244,473,Eulamprus murrayi,0,3781
152.6206,-30.5247,3,2234,970,2,160,48,-112632.133917882,6605703.6317525,474,Saltuarius swaini,0,3792
152.4243,-31.964,3,1116,1059,2,170,-9,-121955.930271603,6444609.45767719,607,Eulamprus murrayi,0,4853
152.5315,-29.9613,1,1068,910,2,173,-4,-124782.821282842,6667842.13199573,409,Ophioscincus truncatus,0,3270
152.1761,-29.5769,3,1230,1029,1,137,15,-161729.965162506,6708587.05668997,329,Ophioscincus truncatus,0,2630
152.1794,-29.6852,1,1242,889,2,136,-17,-160696.934705344,6696562.41392783,355,Calyptotis scutirostrum,0,2834
152.3281,-28.7528,2,1100,990,2,167,-21,-152179.201074767,6801082.64226836,178,Eulamprus murrayi,0,1421
153.5549,-28.3111,3,1736,1360,1,200,0,-34275.8254670192,6856271.07240226,14,Calyptotis scutirostrum,0,106
152.9694,-28.3393,1,1248,959,2,171,-11,-91680.038889184,6850394.32216912,18,Egernia mcpheei,0,140
152.2478,-31.5499,2,1224,1059,2,147,18,-141552.802002051,6489615.79921383,570,Pseudechis porphyricaus,0,4559
152.1671,-29.9126,1,1004,1059,2,134,3,-160385.352517464,6671203.34737429,392,Pseudechis porphyricaus,0,3135
152.965,-29.3286,3,1212,1120,2,189,-6,-86507.4244525261,6740441.91030228,301,Calyptotis scutirostrum,0,2402
152.1883,-29.5968,3,1374,1029,1,134,-1,-160413.503651808,6706444.06554446,332,Pseudechis porphyricaus,0,2655
152.9143,-28.379,1,1468,980,2,171,-4,-96873.8172938199,6845709.6799799,39,Egernia mcpheei,0,308
153.2777,-28.4058,1,2018,1179,4,165,7,-61022.9468789503,6844487.79273792,64,Cacophis kreftii,0,505
152.3787,-29.2008,2,1228,939,2,163,-4,-144419.767878821,6751549.12223782,275,Coeranoscincus reticulatus,0,2195
152.3054,-28.778,2,1104,970,2,164,6,-154245.287601219,6798155.10832232,188,Coeranoscincus reticulatus,1,1499
153.5777,-28.7587,2,1708,1350,1,197,-1,-29780.9705356891,6806663.75964171,180,Eulamprus murrayi,0,1437
153.19,-28.4637,3,1508,1169,2,186,-12,-69325.6308353315,6837641.52514164,95,Coeranoscincus reticulatus,0,755
152.4306,-31.9658,3,1138,1080,2,170,8,-121346.698638541,6444445.78056985,608,Cacophis kreftii,0,4857
151.1676,-31.6237,1,1296,1070,4,106,-12,-243865.165245294,6474510.61629363,581,Cacophis kreftii,0,4641
152.5449,-28.3566,3,1078,1000,2,164,17,-133319.854045549,6846303.36023727,25,Calyptotis scutirostrum,1,194
153.081,-30.1155,2,1760,1019,2,167,10,-70718.7171520564,6653591.81441433,454,Pseudechis porphyricaus,0,3631
152.1697,-29.6039,3,1274,1029,1,134,7,-162174.500138577,6705547.69487258,336,Coeranoscincus reticulatus,0,2683
151.9738,-29.9798,1,912,1039,1,128,-2,-178654.150282374,6662593.67423277,415,Calyptotis scutirostrum,0,3314
152.3705,-29.1953,3,1184,959,2,164,28,-145254.384331396,6752115.31178033,274,Pseudechis porphyricaus,0,2191
152.3281,-30.6192,1,1788,1000,2,122,9,-140157.01004317,6593561.29260029,490,Cacophis kreftii,0,3913
152.098,-29.2984,2,1318,1110,2,126,-22,-171165.102699192,6739109.9164755,294,Calyptotis scutirostrum,0,2346
152.3499,-29.5219,1,2192,1230,1,138,-2,-145188.288834463,6715687.35581262,318,Coeranoscincus reticulatus,0,2539
152.236,-29.8444,1,1222,1000,2,135,36,-154158.711225454,6679183.84940131,386,Coeranoscincus reticulatus,0,3083
152.7564,-31.2324,3,1332,1110,2,180,-5,-95149.1562671253,6527786.53251694,549,Ophioscincus truncatus,0,4390
152.4284,-29.1432,3,1448,1059,2,151,-12,-139931.104993164,6758226.59693511,257,Saltuarius swaini,0,2056
153.2904,-29.2994,1,1474,1330,1,192,0,-54986.1067535209,6745281.6581402,295,Calyptotis scutirostrum,0,2354
153.2384,-29.9673,1,1394,1289,1,188,1,-56347.7388175956,6670835.62619282,412,Saltuarius swaini,0,3296
152.1862,-28.8225,3,1096,1019,1,144,19,-165638.858103626,6792540.33884748,203,Egernia mcpheei,0,1620
153.6123,-28.7224,1,1772,1100,2,193,4,-26577.824176917,6810849.10035356,177,Egernia mcpheei,0,1412
152.4917,-30.0442,3,1112,990,2,158,12,-128109.597482725,6658407.48963342,432,Coeranoscincus reticulatus,1,3451
151.3768,-31.9567,3,1486,1090,5,109,-19,-221330.324266829,6438872.84690911,605,Saltuarius swaini,0,4840
152.4014,-28.477,1,1110,1090,4,155,1,-146695.869278145,6832149.54484808,104,Ophioscincus truncatus,0,830
152.1988,-29.5734,3,1488,1019,1,132,18,-159546.266625525,6709106.39433966,326,Ophioscincus truncatus,0,2606
153.2211,-29.6389,3,1550,1080,2,186,-5,-59856.2649333202,6707233.72725709,344,Ophioscincus truncatus,0,2750
152.5544,-29.9433,3,1248,1110,2,157,-5,-122679.102632655,6669968.32492291,398,Eulamprus murrayi,0,3181
152.7242,-28.478,2,1774,1100,5,150,17,-114982.84538989,6833744.20694228,105,Eulamprus murrayi,0,837
153.1679,-29.9458,4,1346,1120,2,187,5,-63288.9187814718,6672878.38915163,399,Calyptotis scutirostrum,0,3186
152.6486,-28.4616,3,1180,1080,2,168,9,-122504.375187548,6835175.45384486,91,Eulamprus murrayi,0,725
152.7497,-28.8987,2,1146,1029,2,181,-33,-110020.100859829,6787116.90272986,216,Egernia mcpheei,0,1724
153.0286,-28.4151,1,1716,1110,4,166,36,-85441.3456632874,6842262.35620362,79,Saltuarius swaini,0,632
152.5699,-29.7232,2,1250,800,2,169,20,-122550.332916731,6694519.16014196,374,Cacophis kreftii,0,2985
153.2736,-28.404,1,2270,949,2,159,-2,-61435.1928033584,6844668.54431818,61,Egernia mcpheei,0,484
152.0602,-30.9189,3,1036,990,2,125,17,-163845.617783855,6558665.20310326,518,Cacophis kreftii,0,4137
153.2821,-28.5304,1,2314,1029,2,158,63,-59930.1265788042,6830667.09207023,137,Pseudechis porphyricaus,0,1095
153.2404,-29.9529,4,1388,1120,2,187,6,-56234.8699237939,6672445.06950589,405,Pseudechis porphyricaus,0,3239
153.4293,-29.0445,1,1470,1330,1,194,1,-42808.1790068126,6774247.29778187,239,Cacophis kreftii,0,1905
153.0996,-30.0668,1,1512,1029,2,184,-8,-69202.4814354768,6659095.87930042,433,Ophioscincus truncatus,0,3462
152.2924,-30.9294,2,1604,1120,2,126,1,-141514.39723449,6558866.54859001,522,Ophioscincus truncatus,0,4174
152.7124,-31.2053,3,1396,1100,2,179,-15,-99523.1046195703,6530559.19103228,540,Egernia mcpheei,0,4316
152.3369,-30.547,3,1492,1120,2,126,32,-139787.964672713,6601638.98677139,480,Cacophis kreftii,0,3833
152.3328,-32.0321,3,1192,1090,2,170,-17,-130158.516381824,6436505.64514173,613,Pseudechis porphyricaus,0,4903
152.3897,-28.7188,3,1062,990,2,173,23,-146353.923264982,6805201.04834351,176,Coeranoscincus reticulatus,0,1403
152.3681,-31.1968,1,1982,920,2,137,-12,-132475.496139261,6529574.35995134,538,Saltuarius swaini,0,4304
152.1073,-30.8073,1,824,920,2,167,-33,-160099.441241579,6571357.13800851,494,Pseudechis porphyricaus,0,3951
153.2903,-28.5466,2,2720,1110,4,157,-7,-59039.7148912014,6828905.9612443,148,Saltuarius swaini,0,1184
152.3218,-30.6155,3,1718,1019,2,127,-4,-140787.33934264,6593936.55780868,489,Eulamprus murrayi,0,3909
153.0265,-28.4097,2,1660,939,2,169,-8,-85677.5166531029,6842852.09919301,71,Ophioscincus truncatus,0,566
153.5499,-28.5314,2,1766,1159,4,199,0,-33656.1895879237,6831782.75910205,138,Egernia mcpheei,0,1100
152.426,-32.0271,3,1124,1090,2,169,-3,-121366.486452342,6437604.83628043,610,Cacophis kreftii,0,4873
151.616,-31.6709,2,996,870,2,130,17,-200812.616217544,6472250.03913196,589,Egernia mcpheei,0,4708
151.9258,-32.5994,3,1142,1100,2,173,0,-164524.227121531,6370951.2903102,637,Calyptotis scutirostrum,0,5090
152.3635,-29.6556,1,1334,1049,2,167,-24,-143011.710533413,6700897.88663199,348,Coeranoscincus reticulatus,1,2779
151.3768,-31.9567,3,1486,1090,5,109,-19,-221330.324266829,6438872.84690911,605,Coeranoscincus reticulatus,0,4835
153.4951,-28.1705,3,1594,1159,2,200,-1,-40865.5086195344,6871619.40086448,4,Coeranoscincus reticulatus,0,27
152.27,-30.8462,3,1528,1129,2,127,-2,-144221.814463408,6567987.29067402,503,Calyptotis scutirostrum,0,4018
152.4629,-28.4267,1,1262,1129,4,147,12,-140959.469933914,6838073.53823004,81,Ophioscincus truncatus,0,646
152.3321,-30.6408,1,1774,1100,2,127,2,-139629.331842812,6591182.67567782,493,Saltuarius swaini,0,3944
152.9753,-29.3304,3,1228,1129,2,188,2,-85494.1537825839,6740293.79231895,304,Egernia mcpheei,0,2428
153.1102,-28.3952,3,2286,1159,4,148,-11,-77534.0953293714,6844869.58424543,51,Ophioscincus truncatus,0,406
152.3261,-29.6915,2,1536,939,2,149,14,-146412.549379286,6696696.52738983,357,Pseudechis porphyricaus,0,2855
152.7497,-28.8987,2,1146,1029,2,181,-33,-110020.100859829,6787116.90272986,216,Saltuarius swaini,0,1728
152.5595,-29.7213,2,1096,1039,2,181,2,-123571.228429978,6694673.93369733,371,Calyptotis scutirostrum,0,2962
153.0102,-28.4133,3,1404,1000,2,178,-6,-87258.8962377934,6842372.25003079,74,Pseudechis porphyricaus,0,591
151.1783,-31.6149,1,1356,1080,4,99,8,-242916.649698275,6475563.53924511,579,Calyptotis scutirostrum,0,4626
152.5315,-29.9613,1,1068,910,2,173,-4,-124782.821282842,6667842.13199573,409,Cacophis kreftii,0,3265
152.777,-28.637,3,1182,1070,2,187,-2,-108876.433782581,6816343.47520397,169,Saltuarius swaini,0,1352
153.1716,-28.4836,3,1622,1090,2,180,16,-71024.471175713,6835342.93435129,115,Cacophis kreftii,0,913
152.098,-29.2984,2,1318,1110,2,126,-22,-171165.102699192,6739109.9164755,294,Egernia mcpheei,0,2348
153.0204,-28.4097,2,1468,1129,5,174,8,-86276.7919880507,6842822.24862468,70,Pseudechis porphyricaus,0,559
152.3892,-30.5202,1,2092,1139,4,107,19,-134930.718085458,6604916.14739508,471,Pseudechis porphyricaus,0,3767
152.0837,-29.7496,3,1170,1029,2,123,2,-169559.374545082,6688845.67261365,376,Coeranoscincus reticulatus,0,3003
152.7054,-28.626,2,1482,1080,1,164,16,-115961.85299911,6817197.07567746,166,Saltuarius swaini,0,1328
152.3412,-31.139,1,1960,1139,2,124,-2,-135434.563789421,6535845.27228755,526,Coeranoscincus reticulatus,0,4203
152.1843,-28.808,2,1170,930,1,143,23,-165917.840413128,6794142.17633504,200,Calyptotis scutirostrum,0,1594
151.3987,-31.9155,3,1422,1039,2,103,10,-219576.358571837,6443604.26054343,598,Coeranoscincus reticulatus,0,4779
153.1515,-30.0757,3,1558,1149,2,186,4,-64136.2703795548,6658365.65138053,441,Cacophis kreftii,0,3521
153.0959,-28.3772,2,2286,1100,4,139,5,-79037.3638766905,6846800.48131106,37,Pseudechis porphyricaus,0,295
153.5502,-28.201,3,1684,1360,1,200,-1,-35290.0454930004,6868477.63934909,7,Cacophis kreftii,0,49
152.4219,-29.5566,3,2014,1070,2,136,3,-137967.594363802,6712229.53059043,323,Egernia mcpheei,0,2580
153.1308,-30.1173,2,1670,1100,3,183,8,-65898.1917227338,6653641.00290433,456,Ophioscincus truncatus,0,3646
152.6164,-30.5247,3,2366,1039,2,154,48,-113036.28359126,6605680.67290244,473,Coeranoscincus reticulatus,0,3779
152.2435,-31.5607,2,1232,1100,2,144,-11,-141887.769204747,6488389.62644232,573,Coeranoscincus reticulatus,0,4579
152.9653,-28.3447,1,1240,1029,5,171,9,-92053.0076306245,6849774.04910058,22,Calyptotis scutirostrum,0,170
153.2327,-28.3915,3,1860,1120,2,169,1,-65519.3030285004,6845864.85170442,50,Cacophis kreftii,0,393
153.5798,-28.7695,2,1692,1360,1,197,0,-29520.6964365395,6805473.74302288,183,Cacophis kreftii,0,1457
151.3768,-31.9567,3,1486,1090,5,109,-19,-221330.324266829,6438872.84690911,605,Eulamprus murrayi,0,4837
152.7185,-30.5358,3,1730,1070,2,180,33,-103143.062343384,6605000.78050746,476,Calyptotis scutirostrum,0,3802
153.0572,-28.3989,2,1930,1110,4,154,28,-82720.9694981723,6844201.85252408,55,Cacophis kreftii,1,433
152.1794,-29.6852,1,1242,889,2,136,-17,-160696.934705344,6696562.41392783,355,Ophioscincus truncatus,0,2838
152.4324,-32.029,3,1142,1100,2,170,-4,-120747.505305778,6437430.65126614,611,Egernia mcpheei,0,4884
151.3516,-31.9456,1,1388,990,5,110,27,-223808.84244951,6439938.38190837,602,Coeranoscincus reticulatus,0,4811
152.8406,-29.8555,2,1028,1070,4,188,-2,-95500.6144606664,6681252.89957975,388,Ophioscincus truncatus,0,3102
152.7397,-28.8066,2,1436,1100,5,166,-16,-111540.073845013,6797301.52655841,199,Ophioscincus truncatus,0,1590
152.4176,-29.5962,1,1820,1000,2,137,0,-138134.799450657,6707803.08097489,334,Saltuarius swaini,0,2672
152.8406,-29.8555,2,1028,1070,4,188,-2,-95500.6144606664,6681252.89957975,388,Pseudechis porphyricaus,0,3103
152.301,-29.1318,2,1340,1110,1,138,0,-152439.192168726,6758789.68653605,251,Pseudechis porphyricaus,0,2007
152.3094,-28.7871,2,1062,1009,2,169,2,-153796.263664079,6797165.36470106,193,Cacophis kreftii,0,1537
153.5818,-28.7587,2,1712,1350,1,197,0,-29379.7381757025,6806682.07694802,181,Egernia mcpheei,0,1444
152.7425,-28.4979,2,1458,1049,2,170,-18,-113069.978206809,6831626.51450922,127,Coeranoscincus reticulatus,1,1011
152.1677,-29.3458,1,1474,1110,2,128,-14,-164061.099810224,6734239.05328714,310,Eulamprus murrayi,0,2477
152.7324,-28.4654,2,1608,1129,5,162,-19,-114250.874091765,6835186.86007185,97,Calyptotis scutirostrum,1,770
152.8681,-30.9114,3,1282,1080,2,183,6,-86460.6346976429,6564057.22550162,516,Egernia mcpheei,1,4124
152.2383,-30.8948,3,1450,1070,2,126,-1,-146934.192780682,6562398.98524639,512,Coeranoscincus reticulatus,0,4091
152.5824,-29.6979,1,1200,990,2,170,-10,-121494.302709042,6697399.19340439,360,Coeranoscincus reticulatus,1,2875
152.7517,-28.9186,3,1274,1049,5,168,46,-109707.419900115,6784915.50427338,223,Calyptotis scutirostrum,0,1778
153.0906,-29.3358,3,1252,1080,1,187,9,-74237.6258340698,6740268.62388593,306,Egernia mcpheei,0,2444
152.7324,-28.4654,2,1608,1129,5,162,-19,-114250.874091765,6835186.86007185,97,Egernia mcpheei,0,772
